Roll,Math,Physics,Chemistry,Computer Science
1,36,98,41,61
2,49,90,48,67
3,50,55,45,96
4,83,61,72,41
5,29,25,85,67
6,33,27,22,97
7,52,43,100,53
8,82,85,89,34
9,87,60,88,40
10,85,91,69,57
11,58,96,24,52
12,28,34,36,31
13,68,40,43,27
14,65,40,70,59
15,35,32,83,94
16,75,97,65,53
17,60,26,77,32
18,42,51,68,24
19,53,82,76,99
20,33,43,37,75
21,44,88,24,73
22,53,95,38,24
23,65,100,22,22
24,54,41,92,51
25,96,29,78,30
26,23,75,35,62
27,91,94,25,30
28,23,85,89,85
29,67,96,87,21
30,77,34,67,89
31,27,90,93,43
32,51,21,70,58
33,47,34,65,99
34,80,40,94,21
35,50,65,37,32
36,37,22,80,25
37,93,29,20,54
38,56,96,65,57
39,73,64,37,85
40,99,93,31,35
41,98,100,22,50
42,53,56,88,92
43,53,54,21,77
44,20,46,69,67
45,72,47,98,53
46,50,46,82,46
47,98,34,55,71
48,52,53,95,93
49,73,31,61,33
50,36,88,87,97
51,74,34,56,41
52,64,22,81,58
53,64,86,95,80
54,47,83,59,82
55,69,77,77,73
56,59,60,92,79
57,82,89,80,30
58,92,27,53,20
59,42,96,79,41
60,26,84,46,92
61,44,87,71,89
62,76,33,23,22
63,28,62,35,61
64,95,96,45,32
65,56,46,63,56
66,57,76,100,99
67,49,51,49,43
68,99,56,30,22
69,91,97,90,89
70,94,89,90,21
71,43,70,24,93
72,92,88,84,41
73,59,21,78,87
74,65,78,41,74
75,96,51,49,50
76,100,60,65,52
77,61,27,71,52
78,20,92,99,58
79,85,47,69,79
80,68,78,75,32
81,47,61,27,72
82,100,84,59,100
83,81,73,78,65
84,69,20,50,35
85,88,57,55,58
86,93,49,33,26
87,97,55,97,50
88,27,78,38,29
89,25,58,70,87
90,32,24,76,35
91,66,22,34,65
92,96,24,96,33
93,23,74,43,88
94,66,27,93,36
95,50,87,84,65
96,38,58,61,50
97,43,34,56,22
98,78,38,57,79
99,68,23,43,28
100,45,67,87,52
